통계년월,통계시도명,통계시군구명,성별,수급자구분,연령구간,수급자수
202006,서울특별시,성동구,남성,특례수급자,75~79세,7
202006,서울특별시,성동구,남성,특례수급자,80~89세,11
202006,서울특별시,성동구,여성,특례수급자,7세미만,1
202006,서울특별시,성동구,여성,특례수급자,7~12세,2
202006,서울특별시,성동구,남성,일반수급자,7세미만,49
202006,서울특별시,성동구,여성,특례수급자,13~15세,2
202006,서울특별시,성동구,남성,일반수급자,60~64세,400
202006,서울특별시,성동구,여성,특례수급자,16~18세,2
202006,서울특별시,성동구,여성,특례수급자,19~29세,7
202006,서울특별시,성동구,여성,특례수급자,30~39세,7
202006,서울특별시,성동구,여성,특례수급자,40~49세,11
202006,서울특별시,성동구,여성,특례수급자,50~59세,19
202006,서울특별시,성동구,여성,특례수급자,60~64세,7
202006,서울특별시,성동구,남성,일반수급자,65~69세,389
202006,서울특별시,성동구,여성,특례수급자,65~69세,13
202006,서울특별시,성동구,여성,특례수급자,70~74세,13
202006,서울특별시,성동구,여성,특례수급자,75~79세,14
202006,서울특별시,성동구,여성,특례수급자,80~89세,11
202006,서울특별시,성동구,여성,특례수급자,90세이상,1
202006,서울특별시,성동구,남성,일반수급자,70~74세,295
202006,서울특별시,성동구,남성,일반수급자,75~79세,291
202006,서울특별시,성동구,남성,일반수급자,80~89세,235
202006,서울특별시,성동구,남성,일반수급자,90세이상,21
202006,서울특별시,성동구,여성,일반수급자,7세미만,45
202006,서울특별시,성동구,남성,일반수급자,7~12세,149
202006,서울특별시,성동구,여성,일반수급자,7~12세,157
202006,서울특별시,성동구,여성,일반수급자,13~15세,97
202006,서울특별시,성동구,여성,일반수급자,16~18세,152
202006,서울특별시,성동구,여성,일반수급자,19~29세,142
202006,서울특별시,성동구,여성,일반수급자,30~39세,100
202006,서울특별시,성동구,여성,일반수급자,40~49세,286
202006,서울특별시,성동구,여성,일반수급자,50~59세,407
202006,서울특별시,성동구,여성,일반수급자,60~64세,261
202006,서울특별시,성동구,여성,일반수급자,65~69세,351
202006,서울특별시,성동구,여성,일반수급자,70~74세,430
202006,서울특별시,성동구,남성,일반수급자,13~15세,125
202006,서울특별시,성동구,여성,일반수급자,75~79세,475
202006,서울특별시,성동구,여성,일반수급자,80~89세,612
202006,서울특별시,성동구,여성,일반수급자,90세이상,108
202006,서울특별시,성동구,남성,조건부수급자,7세미만,19
202006,서울특별시,성동구,남성,조건부수급자,7~12세,33
202006,서울특별시,성동구,남성,조건부수급자,13~15세,46
202006,서울특별시,성동구,남성,조건부수급자,16~18세,48
202006,서울특별시,성동구,남성,조건부수급자,19~29세,148
