지역(구),기준년월,연도,전기요금총액(원),연근로소득(원),월근로소득(원),전기요금지출비율,비율X10000,점수(1-10),점수(1-5)
강남구,201802,2018,"8,030,552,252","36,665,195,000,000","3,055,432,916,667",0.00263,26.3,1,1
강남구,201803,2018,"6,604,650,525","36,665,195,000,000","3,055,432,916,667",0.00216,21.6,1,1
강남구,201804,2018,"6,729,219,315","36,665,195,000,000","3,055,432,916,667",0.0022,22,1,1
강남구,201805,2018,"6,331,693,788","36,665,195,000,000","3,055,432,916,667",0.00207,20.7,1,1
강남구,201806,2018,"7,204,653,270","36,665,195,000,000","3,055,432,916,667",0.00236,23.6,1,1
강남구,201807,2018,"11,009,443,000","36,665,195,000,000","3,055,432,916,667",0.0036,36,1,1
강남구,201808,2018,"16,483,918,800","36,665,195,000,000","3,055,432,916,667",0.00539,53.9,1,1
강남구,201809,2018,"8,222,968,656","36,665,195,000,000","3,055,432,916,667",0.00269,26.9,1,1
강남구,201810,2018,"6,384,605,678","36,665,195,000,000","3,055,432,916,667",0.00209,20.9,1,1
강남구,201811,2018,"6,689,555,250","36,665,195,000,000","3,055,432,916,667",0.00219,21.9,1,1
강남구,201812,2018,"7,296,739,578","36,665,195,000,000","3,055,432,916,667",0.00239,23.9,1,1
강남구,201901,2019,"8,008,668,924","38,565,957,000,000","3,213,829,750,000",0.00249,24.9,1,1
강남구,201902,2019,"7,394,744,840","38,565,957,000,000","3,213,829,750,000",0.0023,23,1,1
강남구,201903,2019,"6,394,316,400","38,565,957,000,000","3,213,829,750,000",0.00199,19.9,1,1
강남구,201904,2019,"6,642,266,532","38,565,957,000,000","3,213,829,750,000",0.00207,20.7,1,1
강남구,201905,2019,"6,227,303,271","38,565,957,000,000","3,213,829,750,000",0.00194,19.4,1,1
강남구,201906,2019,"6,847,622,667","38,565,957,000,000","3,213,829,750,000",0.00213,21.3,1,1
강남구,201907,2019,"8,344,399,544","38,565,957,000,000","3,213,829,750,000",0.0026,26,1,1
강남구,201908,2019,"12,971,787,466","38,565,957,000,000","3,213,829,750,000",0.00404,40.4,1,1
강남구,201909,2019,"9,371,941,376","38,565,957,000,000","3,213,829,750,000",0.00292,29.2,1,1
강남구,201910,2019,"6,794,481,885","38,565,957,000,000","3,213,829,750,000",0.00211,21.1,1,1
강남구,201911,2019,"6,672,548,729","38,565,957,000,000","3,213,829,750,000",0.00208,20.8,1,1
강남구,201912,2019,"7,335,779,493","38,565,957,000,000","3,213,829,750,000",0.00228,22.8,1,1
강남구,202001,2020,"8,029,166,970",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
강남구,202002,2020,"7,771,922,450",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
강남구,202003,2020,"7,526,914,976",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
강남구,202004,2020,"7,386,582,046",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
강남구,202005,2020,"6,952,701,825",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
강남구,202006,2020,"8,357,315,970",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
강남구,202007,2020,"8,724,641,688",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
강남구,202008,2020,"11,777,489,850",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
강남구,202009,2020,"11,177,588,223",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
강남구,202010,2020,"7,165,915,842",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
