연월,자치구명,65~69세,70~74세,75~79세,7세미만,80~89세,90세이상,합계,점수
201706,강남구,906,905,769,365,699,141,3785,3
201706,강동구,666,628,637,256,629,121,2937,2
201706,강북구,1013,1151,1109,335,1042,157,4807,4
201706,강서구,1467,1530,1588,396,1639,291,6911,6
201706,관악구,920,990,970,318,906,153,4257,4
201706,광진구,482,457,433,147,448,77,2044,1
201706,구로구,564,678,693,284,640,96,2955,2
201706,금천구,687,728,722,243,673,101,3154,2
201706,노원구,1710,1765,1860,508,1773,318,7934,7
201706,도봉구,591,670,726,267,722,121,3097,2
201706,동대문구,960,1024,965,186,797,111,4043,3
201706,동작구,549,647,639,260,603,108,2806,2
201706,마포구,567,621,570,223,617,92,2690,2
201706,서대문구,488,540,611,604,571,77,2891,2
201706,서초구,316,333,280,193,306,60,1488,1
201706,성동구,494,535,526,137,484,68,2244,1
201706,성북구,831,947,946,356,829,148,4057,3
201706,송파구,616,625,511,218,545,117,2632,2
201706,양천구,664,671,702,246,702,98,3083,2
201706,영등포구,746,671,625,212,578,100,2932,2
201706,용산구,519,501,483,157,439,75,2174,1
201706,은평구,1251,1254,1191,429,1154,171,5450,5
201706,종로구,396,416,361,42,317,80,1612,1
201706,중구,379,358,346,100,364,44,1591,1
201706,중랑구,1016,1073,968,352,1077,209,4695,4
201707,강남구,917,889,782,389,706,140,3823,3
201707,강동구,679,624,636,261,632,123,2955,2
201707,강북구,1012,1147,1098,333,1054,153,4797,4
201707,강서구,1470,1542,1586,396,1651,288,6933,6
201707,관악구,919,1010,977,321,913,155,4295,4
201707,광진구,480,464,437,138,445,79,2043,1
201707,구로구,573,679,686,288,643,95,2964,2
201707,금천구,688,725,723,238,669,101,3144,2
201707,노원구,1721,1755,1883,507,1763,310,7939,7
201707,도봉구,601,678,725,267,724,126,3121,2
201707,동대문구,969,1021,977,184,799,112,4062,3
201707,동작구,567,646,642,254,604,109,2822,2
201707,마포구,564,625,578,237,613,95,2712,2
201707,서대문구,488,538,617,608,573,76,2900,2
201707,서초구,321,330,274,191,312,56,1484,1
201707,성동구,490,542,525,137,488,68,2250,1
201707,성북구,834,946,953,362,831,151,4077,3
201707,송파구,620,613,521,211,546,116,2627,2
201707,양천구,668,679,697,239,705,98,3086,2
201707,영등포구,758,669,626,207,579,97,2936,2
201707,용산구,522,502,487,162,442,77,2192,1
201707,은평구,1258,1250,1197,419,1151,174,5449,5
201707,종로구,402,411,365,41,313,81,1613,1
201707,중구,381,355,346,98,363,46,1589,1
201707,중랑구,1028,1089,985,346,1084,212,4744,4
201708,강남구,928,891,787,379,705,143,3833,3
201708,강동구,688,622,640,249,635,120,2954,2
201708,강북구,1030,1143,1089,321,1051,156,4790,4
201708,강서구,1489,1534,1600,391,1649,289,6952,6
201708,관악구,919,1008,983,317,920,159,4306,4
201708,광진구,474,465,437,140,445,75,2036,1
201708,구로구,583,683,685,281,642,93,2967,2
201708,금천구,684,737,723,242,675,101,3162,2
201708,노원구,1734,1740,1900,503,1769,305,7951,7
201708,도봉구,603,678,730,260,731,129,3131,2
201708,동대문구,970,1015,991,183,799,114,4072,3
201708,동작구,574,642,643,258,607,107,2831,2
201708,마포구,568,626,581,230,602,97,2704,2
201708,서대문구,495,544,621,597,572,75,2904,2
201708,서초구,326,330,282,183,309,56,1486,1
201708,성동구,499,546,530,132,491,69,2267,1
201708,성북구,836,943,961,348,845,148,4081,3
201708,송파구,637,607,533,208,556,115,2656,2
201708,양천구,670,685,697,235,708,99,3094,2
201708,영등포구,769,658,627,213,585,97,2949,2
201708,용산구,526,506,490,162,440,82,2206,1
