연월,자치구명,7세미만,65~69세,70~74세,75~79세,80~89세,90세이상,합계,점수
201701,종로구,33,368,422,327,302,79,1531,1
201701,중구,95,384,367,350,351,41,1588,1
201701,중랑구,312,"1,001","1,045",947,"1,051",198,4554,4
201702,강남구,368,894,901,722,690,136,3711,3
201702,강동구,263,646,629,620,617,113,2888,2
201702,강북구,322,999,"1,169","1,069",993,136,4688,4
201702,강서구,389,"1,400","1,508","1,547","1,610",281,6735,6
201702,관악구,296,909,950,924,872,152,4103,3
201702,광진구,139,458,469,420,456,69,2011,1
201702,구로구,275,562,673,677,619,94,2900,2
201702,금천구,228,667,752,679,663,90,3079,2
201702,노원구,507,"1,648","1,816","1,780","1,756",310,7817,7
201702,도봉구,239,575,658,709,684,114,2979,2
201702,동대문구,194,951,"1,067",935,782,103,4032,3
201702,동작구,233,531,660,622,594,98,2738,2
201702,마포구,241,538,637,546,601,93,2656,2
201702,서대문구,549,473,541,582,547,78,2770,2
201702,서초구,183,293,338,278,309,49,1450,1
201702,성동구,129,493,547,527,475,71,2242,1
201702,성북구,336,833,927,934,820,128,3978,3
201702,송파구,200,606,616,503,535,108,2568,2
201702,양천구,226,637,695,705,678,94,3035,2
201702,영등포구,201,773,680,614,596,94,2958,2
201702,용산구,146,511,507,488,414,74,2140,1
201702,은평구,403,"1,217","1,295","1,161","1,136",168,5380,5
201702,종로구,34,362,433,325,311,77,1542,1
201702,중구,96,379,369,350,354,44,1592,1
201702,중랑구,316,994,"1,046",964,"1,042",208,4570,4
201703,강남구,353,892,907,725,690,140,3707,3
201703,강동구,260,651,636,625,623,112,2907,2
201703,강북구,327,"1,011","1,168","1,085",996,142,4729,4
201703,강서구,391,"1,416","1,524","1,547","1,628",281,6787,6
201703,관악구,298,927,957,927,881,152,4142,3
201703,광진구,138,466,464,428,451,70,2017,1
201703,구로구,274,554,675,687,632,94,2916,2
201703,금천구,234,676,752,690,666,95,3113,2
201703,노원구,516,"1,653","1,809","1,812","1,769",314,7873,7
201703,도봉구,244,589,659,708,693,112,3005,2
201703,동대문구,194,948,"1,065",938,792,105,4042,3
201703,동작구,237,528,657,622,606,104,2754,2
201703,마포구,236,540,627,563,604,91,2661,2
201703,서대문구,545,469,536,590,558,76,2774,2
201703,서초구,182,310,333,280,312,50,1467,1
201703,성동구,129,498,547,533,484,66,2257,1
201703,성북구,350,836,928,943,824,135,4016,3
201703,송파구,204,608,614,505,535,109,2575,2
201703,양천구,234,633,692,698,692,94,3043,2
201703,영등포구,196,761,675,620,590,101,2943,2
201703,용산구,148,500,503,491,420,74,2136,1
201703,은평구,412,"1,221","1,294","1,167","1,150",172,5416,5
201703,종로구,36,370,428,337,308,79,1558,1
201703,중구,94,381,373,342,359,44,1593,1
201703,중랑구,312,999,"1,057",973,"1,043",208,4592,4
201704,강남구,374,901,909,729,694,142,3749,3
201704,강동구,263,645,633,622,633,115,2911,2
201704,강북구,346,"1,003","1,166","1,092","1,000",150,4757,4
201704,강서구,399,"1,431","1,524","1,570","1,640",278,6842,6
201704,관악구,315,927,966,940,885,153,4186,3
201704,광진구,154,474,458,424,453,76,2039,1
201704,구로구,277,544,681,685,637,94,2918,2
201704,금천구,253,673,756,700,664,97,3143,2
201704,노원구,518,"1,656","1,790","1,836","1,772",313,7885,7
201704,도봉구,254,588,663,713,700,117,3035,2
201704,동대문구,198,951,"1,057",946,796,106,4054,3
201704,동작구,244,539,646,627,610,101,2767,2
201704,마포구,226,546,623,565,613,95,2668,2
201704,서대문구,598,470,544,601,556,77,2846,2
201704,서초구,192,310,335,280,310,53,1480,1
201704,성동구,135,497,534,540,489,65,2260,1
201704,성북구,350,841,941,935,830,140,4037,3
201704,송파구,236,614,614,508,533,109,2614,2
201704,양천구,246,649,692,690,702,95,3074,2
201704,영등포구,213,751,677,624,593,101,2959,2
201704,용산구,153,502,501,493,431,73,2153,1
201704,은평구,444,"1,226","1,283","1,186","1,156",175,5470,5
201704,종로구,40,376,424,343,313,81,1577,1
201704,중구,102,380,367,345,363,44,1601,1
201704,중랑구,361,"1,012","1,073",962,"1,044",208,4660,4
201705,강남구,377,913,914,749,695,144,3792,3
201705,강동구,267,649,634,625,633,118,2926,2
201705,강북구,355,"1,028","1,154","1,101","1,020",154,4812,4
201705,강서구,407,"1,453","1,532","1,573","1,645",284,6894,6
201705,관악구,326,940,981,953,883,152,4235,4
201705,광진구,165,475,458,429,451,76,2054,1
201705,구로구,290,557,677,684,641,95,2944,2
201705,금천구,256,676,748,710,665,98,3153,2
201705,노원구,536,"1,692","1,762","1,852","1,772",309,7923,7
201705,도봉구,275,589,667,713,708,117,3069,2
201705,동대문구,191,957,"1,028",954,791,111,4032,3
201705,동작구,257,545,636,632,602,102,2774,2
201705,마포구,229,558,629,566,614,91,2687,2
201705,서대문구,608,479,537,600,565,76,2865,2
201705,서초구,203,306,333,280,309,58,1489,1
201705,성동구,138,497,536,533,486,67,2257,1
201705,성북구,365,837,935,948,823,145,4053,3
201705,송파구,234,613,616,514,535,113,2625,2
201705,양천구,258,662,678,695,695,98,3086,2
201705,영등포구,215,746,672,624,586,100,2943,2
201705,용산구,160,513,495,486,433,75,2162,1
201705,은평구,443,"1,240","1,273","1,182","1,153",168,5459,5
